10-01-2015,10-02-2015,9
10-01-2015,10-04-2015,21
10-01-2015,10-10-2015,3
10-01-2015,10-20-2015,6
10-01-2015,10-21-2015,2
10-01-2015,11-1-2015,1
10-01-2015,11-4-2015,3
10-01-2015,11-5-2015,20
10-01-2015,11-6-2015,41
10-01-2015,11-7-2015,42
10-01-2015,11-8-2015,26
10-01-2015,11-9-2015,20
10-01-2015,7-1-2015,20
10-01-2015,7-10-2015,27
10-01-2015,7-11-2015,10
10-01-2015,7-12-2015,7
10-01-2015,7-13-2015,22
10-01-2015,7-14-2015,37
10-01-2015,7-15-2015,21
10-01-2015,7-16-2015,20
10-01-2015,7-17-2015,6
10-01-2015,8-28-2015,12
10-01-2015,8-29-2015,14
10-01-2015,8-30-2015,10
10-01-2015,9-16-2015,15
10-01-2015,9-17-2015,11
10-01-2015,9-18-2015,10
10-01-2015,9-20-2015,1
10-01-2015,9-21-2015,15
10-01-2015,9-22-2015,21
10-01-2015,9-23-2015,19
10-01-2015,9-24-2015,15
10-01-2015,9-25-2015,17
10-01-2015,9-26-2015,17
10-01-2015,9-29-2015,17
10-02-2015,10-04-2015,8
10-02-2015,10-10-2015,3
10-02-2015,10-20-2015,6
10-02-2015,10-21-2015,3
10-02-2015,11-1-2015,1
10-02-2015,11-4-2015,4
10-02-2015,11-5-2015,10
10-02-2015,11-6-2015,11
10-02-2015,11-7-2015,11
10-02-2015,11-8-2015,11
10-02-2015,11-9-2015,10
10-02-2015,7-1-2015,11
10-02-2015,7-10-2015,15
10-02-2015,7-11-2015,10
10-02-2015,7-12-2015,7
10-02-2015,7-13-2015,12
10-02-2015,7-14-2015,12
10-02-2015,7-15-2015,11
10-02-2015,7-16-2015,11
10-02-2015,7-17-2015,6
10-02-2015,8-28-2015,10
10-02-2015,8-29-2015,10
10-02-2015,8-30-2015,10
10-02-2015,9-16-2015,9
10-02-2015,9-17-2015,8
10-02-2015,9-18-2015,8
10-02-2015,9-20-2015,1
10-02-2015,9-21-2015,9
10-02-2015,9-22-2015,11
10-02-2015,9-23-2015,10
10-02-2015,9-24-2015,10
10-02-2015,9-25-2015,11
10-02-2015,9-26-2015,9
10-02-2015,9-29-2015,11
10-04-2015,10-10-2015,3
10-04-2015,10-20-2015,5
10-04-2015,10-21-2015,2
10-04-2015,11-1-2015,1
10-04-2015,11-4-2015,3
10-04-2015,11-5-2015,15
10-04-2015,11-6-2015,23
10-04-2015,11-7-2015,21
10-04-2015,11-8-2015,18
10-04-2015,11-9-2015,15
10-04-2015,7-1-2015,15
10-04-2015,7-10-2015,20
10-04-2015,7-11-2015,9
10-04-2015,7-12-2015,7
10-04-2015,7-13-2015,16
10-04-2015,7-14-2015,25
10-04-2015,7-15-2015,16
10-04-2015,7-16-2015,15
10-04-2015,7-17-2015,5
10-04-2015,8-28-2015,14
10-04-2015,8-29-2015,14
10-04-2015,8-30-2015,10
10-04-2015,9-16-2015,9
10-04-2015,9-17-2015,14
10-04-2015,9-18-2015,9
10-04-2015,9-20-2015,1
10-04-2015,9-21-2015,15
10-04-2015,9-22-2015,12
10-04-2015,9-23-2015,16
10-04-2015,9-24-2015,12
10-04-2015,9-25-2015,11
10-04-2015,9-26-2015,10
10-04-2015,9-29-2015,11
10-10-2015,10-20-2015,3
10-10-2015,10-21-2015,1
10-10-2015,11-1-2015,1
10-10-2015,11-4-2015,2
10-10-2015,11-5-2015,3
10-10-2015,11-6-2015,3
10-10-2015,11-7-2015,5
10-10-2015,11-8-2015,3
10-10-2015,11-9-2015,5
10-10-2015,7-1-2015,3
10-10-2015,7-10-2015,5
10-10-2015,7-11-2015,3
10-10-2015,7-12-2015,3
10-10-2015,7-13-2015,3
10-10-2015,7-14-2015,3
10-10-2015,7-15-2015,4
10-10-2015,7-16-2015,5
10-10-2015,7-17-2015,3
10-10-2015,8-28-2015,4
10-10-2015,8-29-2015,3
10-10-2015,8-30-2015,3
10-10-2015,9-16-2015,3
10-10-2015,9-17-2015,3
10-10-2015,9-18-2015,3
10-10-2015,9-20-2015,1
10-10-2015,9-21-2015,3
10-10-2015,9-22-2015,3
10-10-2015,9-23-2015,3
10-10-2015,9-24-2015,3
10-10-2015,9-25-2015,3
10-10-2015,9-26-2015,3
10-10-2015,9-29-2015,3
10-20-2015,10-21-2015,1
10-20-2015,11-1-2015,1
10-20-2015,11-4-2015,3
10-20-2015,11-5-2015,8
10-20-2015,11-6-2015,7
10-20-2015,11-7-2015,6
10-20-2015,11-8-2015,6
10-20-2015,11-9-2015,6
10-20-2015,7-1-2015,8
